X_rms,X_mean,X_std,X_max,X_min,X_kurt,X_skew,Y_rms,Y_mean,Y_std,Y_max,Y_min,Y_kurt,Y_skew,Z_rms,Z_mean,Z_std,Z_max,Z_min,Z_kurt,Z_skew,X_fft_mean,X_fft_max,Y_fft_mean,Y_fft_max,Z_fft_mean,Z_fft_max,label
0.19534424741977946,-0.1296875,0.14608397360336964,0.16,-0.59,0.19941192070705283,-0.31687174420117453,1.0770141015789905,1.0671875,0.1451558295203813,1.53,0.78,0.304663536113448,0.5049579382338754,11.533485623392435,11.532812499999999,0.12460523602060224,11.77,11.06,4.523108656643377,-1.6512730781553404,1.2916982846539646,8.3,3.09245819726814,68.3,23.949091684506065,738.1,yes
0.1740689518552921,-0.101875,0.14114348860291076,0.16,-0.59,0.7622978068489044,-0.6115762209578527,1.0690657428334331,1.05859375,0.14926766214065756,1.53,0.67,0.6370115312017264,-0.014399679567782113,11.530738606546416,11.529843750000001,0.14365205562726033,11.81,11.06,2.67384290443324,-1.2298789618110888,1.16199820067103,6.52,3.142387897993782,67.75,24.077156957855863,737.9100000000001,yes
0.19529624932394374,-0.110625,0.16094326445987106,0.16,-0.86,5.607632543388792,-1.544361819363438,1.0784102883411304,1.0706250000000002,0.12934782323255384,1.33,0.67,0.7556155419966979,-0.7167796925969538,11.53976128977545,11.5390625,0.1269930946695528,11.81,11.1,1.2059840488362772,-0.6282735986945472,1.3414140216540682,7.08,3.0480283643642903,68.52000000000001,24.005272589208417,738.5,yes
0.3084740669813266,-0.1434375,0.27309693076589125,0.16,-1.84,21.301500996776,-3.9961033213543486,1.0886890051800837,1.0778125,0.15350558570863146,1.65,0.43,5.948396195516274,-0.4998706598291425,11.55196925852904,11.55125,0.12890767044671927,11.89,11.18,0.8850599087691751,-0.457763045732949,2.2335376829845073,9.18,3.1980061188888156,68.98,23.994110625194775,739.28,yes
0.29548688634184767,-0.135,0.26284501136601396,0.16,-1.84,25.065631458233774,-4.31765222826927,1.0835481357558603,1.0714062500000001,0.16175663807379745,1.65,0.43,4.42057160451608,-0.32299884201661216,11.56782917729165,11.5665625,0.1711835523458664,12.0,11.18,0.0334883584568364,0.03345670904194662,2.1931596501129142,8.639999999999999,3.293929326389293,68.57000000000001,24.336841518561727,740.26,yes
0.21951295519854858,-0.10796875,0.19112479306316463,0.43,-0.82,2.4436184805173804,-0.43725531412531493,1.080477325074432,1.0715624999999998,0.13851013895650383,1.37,0.55,1.7720002833999864,-0.8120934285025194,11.591877746400709,11.59046875,0.18073141058885553,12.0,11.18,-0.15432832313489797,0.011617406546284676,1.521854136232208,6.91,3.086146479658524,68.58,24.41330550795363,741.79,yes
0.22099915158208186,-0.0940625,0.19998217694022136,0.43,-0.82,1.7618307954412709,-0.23616717475189938,1.0496509836607595,1.03703125,0.16227561130199908,1.37,0.55,0.6057259569892479,-0.6587371165560382,11.622490858245492,11.6215625,0.1468972722474791,12.0,11.18,0.9573486863779799,-0.05549268085562196,1.6377914969951668,6.0200000000000005,3.2348984224800548,66.37,24.28860481118011,743.78,yes
0.1749419546592526,-0.08421875000000001,0.15333587202099025,0.35,-0.47,0.28390840449729726,-0.2601853565457931,1.0753197198972964,1.0621874999999998,0.16754168091478014,1.57,0.59,0.7413830588019805,0.016252630095370302,11.635426708440907,11.634843749999998,0.11647145824594754,11.96,11.38,1.0704096018413036,0.5801970146250368,1.1888017367772417,5.390000000000001,3.3403192914353537,67.97999999999999,24.066910685858534,744.63,yes
0.18748749958330554,-0.09578125000000001,0.16117541576939548,0.59,-0.51,3.99999314100505,0.7588722567127304,1.0809688940945525,1.0715625,0.14229391622184695,1.57,0.75,1.1344141420107245,0.4502911284945169,11.60437760879488,11.60359375,0.13487687889678318,11.96,11.1,2.6349354845413933,-0.7007692384265731,1.2924974633408843,6.13,3.143207496646699,68.58000000000001,24.133478920078666,742.6300000000001,yes
0.21802021121905188,-0.13828125,0.16855595035013596,0.59,-0.51,4.176379243188907,1.0652486820533151,1.0565835272234751,1.0446875,0.15810369174611325,1.29,0.35,4.713648684524695,-1.7036811482372778,11.663211460078223,11.662031249999998,0.16591771009581083,11.96,11.1,0.8452325676444254,-0.7742265021569185,1.4599293192608171,8.850000000000001,3.16610973139961,66.86,24.386424890830995,746.37,yes
